restaurant,Asian Cuisine,Dining Experience,Food Quality,Service Speed,Staff Friendliness,Value for Money,Western Cuisine,avg_rating,review_count,Asian Cuisine_text,Dining Experience_text,Food Quality_text,Service Speed_text,Staff Friendliness_text,Value for Money_text,Western Cuisine_text
DIN by Din Tai Fung at Suria KLCC (NO PORK),3.0,3.0,4.577365,3.0,3.0,4.0713644,3.0,4.0344827586206895,58,"Went to try the pork free xiao long bao.  We chose the crab & chicken, sambal chicken and lamb version of xiao long bao. Not bad, unique. The shrimp fried rice is also a good choice.",No specific mentions.,Love the food here. Many variety of xiaolongbao and it tastes great. Salted egg yolk bun was delicious. Side dishes were good too.,"The food is excellent, can’t really say much else. Queuing is an issue, but you can always reserve a table.","I thank my friend Melinda Loi,for introducing me to this wonderful dishes..good ambience restaurant and excellence service provide by the staff.keep it up good job guysShow less",Experienced a great meal and array of dishes during our time here at Din Tai Fung. We found the restaurant at on the fourth floor of the KLCC and happily enjoyed the self-order checklist provided at t...,No specific mentions.
Da On Fine Korean Cuisine,3.0,3.0,4.236957,3.0,4.7275395,4.4768767,3.0,4.186046511627907,43,No specific mentions.,No specific mentions.,This is one of my favourite restaurant ever. You should try the korean bbq. They have varieties of meat just take whatever suit your budget. The meat is so juicy and tender and flavourful. Everything ...,I dont understand how they can call their restaurant a fine dining restaurant when they serve the ketchup sauce in a plastic bottle as what i saw in mamak stall and when i call the bill i have to go t...,"I love the food here, it tastes great the staff are very friendly and helpfulLove how they prepare the food infront of youWent with the family even our kids loved the food (4 year old and 18 month old...","Da On is an amazing restaurant, serving up delicious BBQ and other homemade Korean flairs. They use fresh and fine ingredients that trigger the exquisite tastes in the main dishes and ban chan. The pl...",No specific mentions.
Damascus Restoran,3.0,3.0,4.4919443,3.0,4.9636993,4.9088097,3.0,4.666666666666667,15,No specific mentions.,No specific mentions.,I didn’t regret trying the food here! I had the chicken shwarma on a bed of Mandi Rice. Loved it as there was also a additional cheese topping. They were generous with the garlic dip which I loved! Co...,No specific mentions.,Love this place! We've been 3 times in 3 days. Great place for a quick inexpensive but still delicious lunch or dinner. Tastes amazing. Rich in flavour and not too dry. Very friendly staff as well!,Delicious food for a small price. Very nice people. Easy ordering and fast receiving. We will visit this place again!,No specific mentions.
Dancing Fish,3.0,3.0,4.641659,1.8141637,4.805262,4.461248,3.0,4.223880597014926,335,"My second visit to this restaurant, still serving great food. The Emping snack is so tasty, I love serving it with kicap manis, the sweetness of the kicap manis just pair so well with the bitterness o...","Love the food, the portion, the price and THE SERVICE!  Can someone give the guy who sings happy birthday a raise!! We were so entertained.","After about a year since my first visit, I came back for a family dinner and happy to say, it was even better the second time around! They have group menus which are actually quite worth it and we ord...","We were there for dinner, all 11 adults (seniors included) and 3 children. We picked the set C because that had all the signature dishes. The children decided to share 2 Fish & Chips. We enjoyed every...",Lovely Indonesian cuisine. One of my favourite places to go to because the food is delicious! There is a staff with fantastic Mariah Carey's voice who will usually sing a happy birthday song when u ce...,"The restaurant is located in a nice area, really gives a relaxed feeling. The food is very good and the staff is very well prepared for their job. I had a wonderful evening.",No specific mentions.
Daorea Korean BBQ,3.0,3.0,4.8400497,3.0,3.0,3.8840914,3.0,3.764705882352941,17,No specific mentions.,No specific mentions.,The staff service is superb and food is fresh and tasty too. Love the juicy of the BBQ meats and the beef soup.,“3 adult + 1 kid. Is there any minimum order? Visited SS2 branch today and ordered 2 portions of BBQ to try out. Was told we had to order 2 more dishes cuz there are 4 of us. Staff keep telling me is ...,"With plentiful condiments to chose from with barbecue or soups , this place server great Korean cuisine with fast service .",One of my favorite food. Daorea provided good food and service in good price. sam yuk ssal highly recommended.,No specific mentions.
Dc Comics Superheroes Cafe,3.0,3.0,4.8281417,1.4593983,4.837981,4.4351315,3.0,4.162162162162162,148,No specific mentions.,Brought my Superman fan hubby here and he enjoyed the meal..It was unique and an amazing experience.. Would appreciate if the seats would be better..,"As a Batman fan, I love the environment here. We ordered waffles and I love how it looks and tastes. Should try it out","If you are not sure of the order, ask the customer and stop guessing. We ordered f26 and they gave us f20. I checked our order and we clearly wrote 6 and not 0. The staff insisted it was a 0 and was n...","I went with family this place 2nd time! This place is so nice, environment is so good and food is tasty! Will visit another time! 😊",Went here with my kids. The place is great. Good selection of menu. Interesting place to try. Kids will love it!,No specific mentions.
De.Wan,3.0,3.0,3.0,2.6596599,4.9734793,4.488351,3.0,4.052631578947368,19,No specific mentions.,No specific mentions.,"One of the best dining experience I had in Kuala Lumpur. From different colored rice, seafood, chicken, lamb, everything was just amazing.. will definitely try a second time","Finally got the opportunity to makan at De Wan 1958 Food was good and we were surprised by the large portions Loved the look of the restaurant, beautifully done The staff were very friendly but the se...","The food was fantastically delicious. From starter to main dishes to dessert. My friends and I enjoyed the food a lot. The place is located at level 2, The Linc KL. It is very nice place. The staffs w...","I went with my friend and we absolutely love the dining experience at De.Wan. Staffs are attentive and willing to explain the menu. Everything taste superb, Malay food at its finest! Really love the e...",No specific mentions.
De.Wan 1958 By Chef Wan,3.0,3.0,4.881831,4.0651402,4.9638777,4.089119,3.0,4.357142857142857,28,"Had prebirthday lunch w my bff. We had cucur udang s appetizer & main course of sambal petai udang, rendang S'gor & kerabu paku w nasi lemuni & nasi telur T'ganu & finished off w bubur som2 & cendul. ...",Came here to celebrate my father’s birthday and it was filled with so much laughters and approvals! Family approved of all delicious dishes!!!! Told the staff it was my father’s birthday and received ...,This restaurant opened up in 2019 by a famous celebrity chef in Malaysia. We came here for the special Raya buka puasa and the food here is fabulous ! So many choices of Malay cuisine and all cooked t...,"I must say I loveeeeeed their food! The whole experience was pleasant. We had a good waiter that served us. We ordered ikan Bakar which was yummyyyy, this came with few sambal that we can choose. Thei...",I just love dining at De.Wan 1958 with families and friends. We do love all the delicious authentic Malay cuisine served. And the ambience of the restaurant is just fabulous.,"Tried the restaurant for the first time and was smitten with the selangor rendang. The food was really good, well priced with excellent service. Waiting time was minimum and we all enjoyed our dining ...",No specific mentions.
Deep Blue,3.0,3.0,3.0,3.0,4.9758534,4.0052543,3.0,3.789473684210526,19,No specific mentions.,No specific mentions.,"I highly recommend this place for their delicious dinner options and drinks. My partner and I ordered their signature Deep Blue cocktail, perfect for our evening in KL. We got some Chicken Caesar sala...","The food is the worst! Tasteless. The service is okay, but I can’t believe I paid for the worst food. Don’t recomend at all.","Deepblue @level 51 has amazing view and it’s crowdy, I had came here for many times. Love their food and service. Taste of the cocktails are special. They have comfortable chairs and tables. Great par...","Had great time here. Staff were informative, friendly and helpful. First for drinks on late afternoon, I got the best spot that recommended by Jeffrey, the staff. Back second time for dinner, fab Beef...",No specific mentions.
Define:food,3.0,3.0,3.8844633,3.0,3.0,4.126474,3.0,3.8333333333333335,18,No specific mentions.,No specific mentions.,"Had a chance to celebrate my girlfriend's birthday there. The whole restaurant was really happening as it was on Wednesday night. We ordered Salted Duck Egg Pasta, Pan Seared Norwegian Salmon, Hand Br...","We had Wagyu Beef Burger with Raclette, Crab Cakes with Mango Salsa, Duck Carbonara & Salted Duck Egg with Duck Bacon pasta. The beef & the melted Raclette were good. The friend specifically asked for...","I came here for a birthday celebration with my girlfriends in early December. I was impressed by how much effort and details were put into each and every dish, not to mention the seamless blend of Wes...",Hopped into Define:Food since it was very well located between The Garden's Mall and MidValley mega and oversaw the thoroughfare between the two as well as the water fountain. A chalkboard of attracti...,No specific mentions.
Delay No More Crab Restaurant,3.0,3.0,4.6750064,1.7164038,3.0,4.3932457,3.0,3.88,25,No specific mentions.,No specific mentions.,My friends and I really enjoyed the food and service of Delay No More. Annie's food recommendations was excellent and the food was superb. Their signature crab dishes like Chili Crab and Salted Crab a...,"do check the bills, because you would always ask for some other priced crabs, like rm 88 and when the bill comes, they would charge extra like rm 128 and say, oo sorry we forgot to mention to you, the...","The restaurant ambiance are good, clean and comfortable. The staff also very attentive.I don't eat crab, but after i tried their crab for the first time, i fall in love with it.If you visit this resta...","i think this restaurant has really great food and their crabs. they are superb. would really recommend it to others. They don't even serve pork which makes it even better since then, i can bring my ma...",No specific mentions.
Delhi Royale,3.0,3.0,4.589406,1.9016503,4.714995,4.1514077,3.0,3.836065573770492,122,No specific mentions.,No specific mentions.,"Awesome and elegant decor!!! Finally tasted some authentic indian food in KL, butter chicken, paneer masala was perfect. Butter naan (indian bread) was cooked precisely. Dal was nice as well. Definite...",A very good place for indian delicacies..infact the best place i found for indian food and chaats in kuala lumpur..A must go for foodies..Ambience and taste goes hand in hand here..,We were 100% satisfied by that restaurant. The service was helpful and staff friendly+attentive. The dinner was simply delicious! We definitely recommend!,This was my second visit to Malaysia. So I could not miss this place. One of the best place to have Indian food in Kuala Lumpur. I visited with my family members. The food served was impressive in qua...,No specific mentions.
Delicious Bangsar Village 2,3.0,3.0,3.6594036,2.358362,4.9556246,3.7302275,3.0,3.42,100,No specific mentions.,No specific mentions.,"Been to the ones at Mid-Valley mall, Bangsar Village and 1 Utama. Occasionally go there for their desserts such as the strawberry pavlova. For the main course, my favourite is the Thai-style barramund...",We had a guest last Saturday in our home and we decided to buka Puasa at Delicious in Bangsar Village II.I made a phone call around 12pm to make reservations for 5pax and we went down to the restauran...,"I love the location in Dua apartments.  Classy, good food, great service and multi-faceted.",Wow it was great as my wife and i made our way through the Big Breakfast and the Granola which both came with complimentary coffee - the quality and service were sensational and the ambience just righ...,No specific mentions.
Delirium Cafe,3.0,3.0,3.0,3.0,4.9535294,4.1773396,3.0,3.928571428571429,28,No specific mentions.,No specific mentions.,"I went there with my father and brother as it was a delirium cafe, and as Belgium's we were pretty much obligated to try it out.To our great surprise it was a fully fledged Delirium cafe, though there...",It is rare for us to leave a bad review (even average reviews!) especially considering this place was recommended so highly by friends but we didn't enjoy our time at delirium cafe. When we sat down t...,A place not to miss. Great belgium beer and super food. Atmosphere is cosy; at night superd with fountain lake at KLCC. DJ on Friday and Saturday night. Lovely with friends.,"For me, Delirium is a great place to chill on a lazy Sunday afternoon (although any other day would be fine as well). They have a very good selection of beers. The view on the KLCC fountains is beauti...",No specific mentions.
Devi's Corner,3.0,3.0,4.4009714,1.7252213,4.9529805,4.09926,3.0,3.691489361702128,188,"the banana leaf is the best in town.i like the banana leaf here with teh tarik...taste.nice n delicious ..besides that, the restaurant is nice n clean with air condition. ..good environment for gather...",No specific mentions.,I absolutely love Devi's and it's especially good if you sit upstairs and have their banana leaf. If you don't want just rice you can order freshly baked rotis and naans too. The curry sauces and pick...,"As we speak I am still eating it at 4:30 AM. Got take out for the first time for 5px, The amount of food was massive and delicious.","Great curries, lots of choices and great service! Try the crab curry, so delish! Will come back for sure! Such a treat! If you love Indian food come here!",I loved Devi's Corner so much I went to eat there two nights in a row.  Super cheap and super good Indian Muslim food.,No specific mentions.
Dewakan Restaurant,3.0,4.9573426,3.99487,2.9555788,4.9277406,4.449013,3.0,4.334951456310679,206,No specific mentions.,We have such lovely dining experience there and feel really proud to have such good quality fine dining in Malaysia. We love how they tweaked the local ingredients in every single dish they served eve...,"What a fantastic experience at Dewakan. It is a bit out of the way but absolutely worth the trip. The food was outstanding, easily up there with food I have eaten in Michelin-starred restaurants aroun...","Completely blew away our expectations! The food was not only amazing but elegantly and thoughtfully plated - a very unique menu. Service was extremely efficient, an empty plate or glass would be off t...",Incredible dining experience. Head chef Darren was very attentive and accommodating. Food was delicious and very creative. Highly recommended. Can't wait to go back!,"we found this great restaurant by coincidence in the internet and have been more than happy to have dined there. amazing foodconcept, great staff, beautiful winelist and a great chef! highly recommend...",Excellent degustation with lots of locally sourced ingredients...
Din Tai Fung at The Gardens Mall,3.0,3.0,4.571007,3.0344102,4.7250276,4.383131,3.0,4.097938144329897,194,"We have been in Din Tai Fung before and ordered Xiao Long Bao. However, last week when we ordered 6 pieces of Pork Xiao Long Bao and 6 pieces of Crab and Pork Xiao Long Bao for lunch. My parents and I...","if u come to malaysia, u have to try din tai fung it is the best food!!!!!!!!!!!!!!!!!! u r gonna love the taste and the dumplings are fantastic!!!!",Decided to have dim sum and where do we go? Mostly pork dishes which I adore! Their specialty 'xiao long baos' are a hot favourite! Although this time around I had great tasting vegetarian dumplings d...,"It was a while that I did not eat at Din Tai Fung. The quality of the food in this outlet is excellent. Service is timely, waiters are good and helpful. This time I tried my favourites – in the order:...","This is our favourite Taiwanese restaurant ever!  Food is always fresh, delicious and the Xiao Long Bao are you die for!  I never get sick of eating here and just love it!  Everything on the menu is r...",The food was really tasty and a good selection. The service was also good and the whole meal was good value. Well worth a visit or two!,No specific mentions.
Din Tai Fung 鼎泰豐 at The Gardens Mall,4.8726645,3.5252597,4.115502,3.134923,4.840857,3.8165934,3.0,4.006521739130434,460,Nice. Love the xiao long bao and the shrimp egg fried rice.,I love Din Tai Fung. Good service great dumplings,Love coming here for the xiao long bao - juicy packages of goodness! Tried the vegetarian dumpling which was filled with veggie and mushroom and it was surprisingly good. Wontons are also nice as the ...,Service was good. Food service not bad and no need to wait long even when on weekends.,"We love this restaurant, food is delicious, staff very good and smile ☺","Din Tai Fung, by far, has the best Xiao Long Bao and their food quality has been extremely consistent and tasty in all the different Din Tai Fung restaurants I visited - Singapore, Taiwan and North Am...",No specific mentions.
Dining In The Dark KL,3.0,4.9163504,4.327364,4.417179,4.9378157,4.6075845,3.0,4.668800931315484,1718,No specific mentions.,"My boyfriend surprised me by taking me here and I’m so glad he did! The service was incredible, the staff are dedicated in making your experience one to remember. Marcus our server was so lovely and m...","Loved the whole concept. Right from the start, we are encouraged to use all of our senses. The meal was very good...loved the salmon tartare, cauliflower soup, duck with mashed potatoes and the Panna ...","Wow! My husband and I were blown away tonight with Dining In The Dark. We were so lucky to be paired with an amazing server, Radha. He was wonderful and very clear with his instructions and made us fe...",Amazing experience we had here today! I brought my friend along here to celebrate her birthday. The food was amazing! Every bite was very exciting to go for❤️ The waiter radha was such a pleasant and ...,"The food was really really good! Big portion. I came out super full. Our guide, AK was really kind and super professional. Don’t know how he works in the dark but he was amazing. The menu was a comple...",No specific mentions.
Dolly Dim Sum,3.0,3.0,4.6368365,2.2781248,4.9729404,4.264109,3.0,3.88671875,256,"Pavilion Elite,I have been counting down to my KL trip to try out Dolly Dimsum and its not disappointing at all. Lunch at Dolly Dimsum was my first meal since I landed and its such a satisfying meal! ...",No specific mentions.,"Pavilion Elite,""""Wow! I love the pineapple bo lo buns with coconut, crispy shrimp cheung fun and panfried radish cake! Ambiance is wonderful too! Thumbs up!","The food here is great, we tried almost everything on the menu. Love the interior of the restaurant, it is bright and serene during lunch time and very romantic during dinner time, especially if you g...","Pavilion Elite,""""The food was so delicious and the service was great. We like our services staff very much, She was kind and fast.  Thank you Dolly Dim Sum, Pavillion Elite","NU Sentral,Two of us (Malay/US) had brunch! Great Halal Dim Sum at very convenient location (NU Sentral) (There are other branches in KL). Very popular!! Every dish did not disappoint! Sauces were a l...",No specific mentions.
Dome Cafe (Connections),3.0,3.0,3.0049198,2.2832634,3.9992182,3.8296192,3.0,3.3424657534246576,73,No specific mentions.,No specific mentions.,Very good service food very tasty I try the roasted chicken with mushroom sauce the taste very good.highly recommended spot to have all day breakfast,"Good day, Recently me and my friend's dine in at Dome Pavillion, we ordered a couple drink and i requested for a flat white. I'm extremely pleased with the quality of coffee dome has and the service w...",Staffs are very helpful and attend us very well. The staff who took our order manage to suggest us a few drinks.. and they were delicious! This place is also very cosy for a day out with friends.,lovely place to have tea and cake with friends. chocolate banana cake was awesome. chamomile tea was lovely. nice sitting area.,No specific mentions.
Down to Bones,3.0,3.0,3.9782043,3.0,3.0,4.5161514,3.0,4.105263157894737,19,No specific mentions.,No specific mentions.,"Value of money, nice pork rib, lamb and chicken. The coleslaw and mash potatoes is super nice too. Their new menu have pasta and mushroom soup. Best place to eat and chill during weekend.Nice and Frie...",Had a long long wait for both table and food. Ribs has great taste but the outdoor foul smell spoils the taste.,No specific mentions.,Great place with great food. Price is very reasonable too. Pork ribs with an ice cold Korean beer is the best combination. Open on Friday till Sunday 6pm start.,No specific mentions.
Dragon-i,3.0,3.0,4.2640185,1.9795321,4.9563966,3.783531,3.0,3.5636363636363635,110,No specific mentions.,No specific mentions.,"I love the sioa loong pau- the filling is fresh and juice very delicious. The stew belly pork was very nice  For veggie lovers try the stir fried kay lan with garlic,it was delicious! I definitely wil...","Came specially for the Peking duck. Was advised 30 moon wait when we ordered, which was fine I was happy to wait.The problem arose when another table arrived 30 minutes later, sat down beside us, orde...","Food was delicious and the service was good, we really enjoyed it. the xiao long bao was amazing. We will definitely come again.",I first ate at Dragon-i in Hong Kong years ago where it's a stylish restaurant with nightclub. Now they seemed to have blossomed into a multi-branch restaurant chain in key Asian cities. I enjoyed a l...,No specific mentions.
Dragon-i Peking Duck Restaurant @ Pavilion KL,3.0,3.0,4.13219,2.8948278,4.959619,4.0715513,3.0,3.762886597938144,97,No specific mentions.,No specific mentions.,"Had a fantastic family meal. Birthday celebration. Delicious fish, efu noodles, fried rice, spicy chicken, vegetables - all very tasty and delicious. Enjoyed very much.","Yes please, we’ll have another delicious bite of dim sum. The soup dumplings were worth the stop by themselves. We enjoyed every morsel. The three dumplings with the crunchy golden web were our favori...",We ate here 4 times!! We loved Dragon-I definitely one of our favorites. Everything we tried was awesome. The wait staff was very good. They had a guy in the back making noodles ... So it was almost l...,"We were at the Berjaya Times Square, Dragon I Restaurant for lunch. The food tasted really nice and the ambiance and the service was also great. Can easily recommend this place to anyone.",No specific mentions.
Drop Exchange,3.0,3.0,4.6433954,3.0,4.968577,4.655986,3.0,4.411764705882353,17,No specific mentions.,No specific mentions.,"DE lived up to the recommendation from a friend. I must compliment the chef, the Indian food tasted really like it would back in India. The way it is to be served and eaten, it was nice and spicy. Gre...",No specific mentions.,Beautiful ambience.  Staff was very helpful n service was great. Manager Parvesh was  more than helpful to recommend some good food. Loved the mushrooms kebabs . Will definitely come again n recommend...,"Dear Team,This is my second visit after 2 years nothing changed same quality food with great service and exclusive liqueurs to offer us. We ordered best single malt MacAllan 18 years super original wi...",No specific mentions.
Du Viet Vietnamese Restaurant,3.0,3.0,3.100688,3.0,4.3723474,4.1873426,3.0,3.507936507936508,63,No specific mentions.,No specific mentions.,"Kuala Lumpur,""""It was first-time visit to this place. It was about 2pm when we arrived and the tables were all occupied. Although busy, service was unexpectedly fast. The beef cuts served with rice & ...","Kuala Lumpur,""""I'll get to my service frustrations in a minute, but I do feel like the food was at least enjoyable. The menu is a good size, with a variety of flavors and serving sizes. The flavors we...","Kuala Lumpur,""""One of our favourite restaurants.  Very good and very affordable.  Great food, fast service and quick delivery to the table.","Kuala Lumpur,""""I really like Vietnamese food. As a gluten free person I always find enough options to satisfy. This place was fast and efficient and delicious. I would recommend, especially for a lunc...",No specific mentions.
Duddha,3.0,3.0,3.0,3.0,3.0,4.236203,3.0,3.631578947368421,19,No specific mentions.,No specific mentions.,Went with family for dinner. Great ambience opposure the water fountain park. The food is orgasmic.  Very nicely presented.  Even the desserts are yummy.  I tried the Australian rib eye....yum yum!!,"I would not recommend this place to others. This was my experience: We first sat inside, but the air conditioning was so cold that we ended up moving outside. A nice Indian man was serving us. We orde...",No specific mentions.,Was having dinner there for the 2nd time and must say that their food is really outstanding. I love this modern and innovative interpretation of South Asian cuisine. Also the hancfafted cocktails are ...,No specific mentions.
Eat X Dignity Cafe,3.0,3.0,4.5975313,3.158376,4.9064474,4.5972514,3.0,4.489473684210527,380,No specific mentions.,met up with a friend for lunch and coffee here. I have dietary requirements (food allergies) and the chef was happy and able to accommodate. appreciate it!,"Super cozy and comfortable place to dine-in. The food is undeniably good! I ordered nasi kerabu and nasi dagang, the ayam percik is my favorite! Their homemade lemonade is also very good, not too swee...","Was in the vicinity looking for food and found this place. Whilst waiting for our food, read up the info placed on the table. Pleasantly surprised to know their cause and was even more suprised when t...","Great service!!! Foods are all scrumptious! Beef burger with a very juicy beef. Thank you so much yall are so friendly✨💛 those who are looking for a great spot to chill with yr friends/family, here’s ...",I've been coming to this cafe since 4-5 years ago. Loved the ambience and the menu options as well as the warm welcome from the staffs. 👌🏻,No specific mentions.
Edo Ichi,3.0,3.0,4.717549,3.0,3.0,4.6302214,3.0,4.25925925925926,27,No specific mentions.,No specific mentions.,"This is my favorite Japanese Restaurant for so many reasons. For starters, it is located at the quiet Nexus Bangsar South mall, which means it is easy to get seats. The food quality here is amazing. T...","The waitresses are untrained, the sashimi was still frozen when served. The picture on the menu and what you get is TOTALLY different. Food arrives randomly you may get the desert first and the appeti...",Wow. How can I explain!!! There is no sushi place better than that. If u can find the branch don't forget to try. The best sashimi that i ever had. They food was great. If u like seafood for sure u wi...,Was on a conference and tried this on last night. the food was amazing really enjoyed and good value for  money,No specific mentions.
Ekkamai,3.0,3.0,4.644872,3.0,4.927283,3.8835878,3.0,4.0,69,No specific mentions.,No specific mentions.,"Batai,Very impressed with all the dishes we had here. The food was really delicious. A couple of must tries are the red curry chicken and steamed fish cooked in lime juice and garlic. The ambiance is ...","Batai,""""I went to Ekkamai for a 2nd time because the gf wanted some spicy food. Asked for a less spicy papaya salad but it came out completely non-spicy. The other dishes were quite bland as well. Not...","Batai,""""We love all the dishes that we've ordered there. The place is comfortable and feels pretty swanky. Great vibe and very friendly service. Try the Thai Song Beer, it's refreshing and yummy. We'v...","Batai,We celebrated our anniversary here and it didn't let us down on our first visit.It has a great selection on the menu and the food we had came quickly and was presented beautifully and tasted as ...",No specific mentions.
El Cerdo,3.0,4.958599,4.4769535,4.075283,4.957218,4.5872664,4.9257727,4.56924882629108,852,"This shop specialize in selling pork. They served great pork. If you are pork lover, you should come and try for it",Crispy and succulent! Good service from Martin and Cho! Celebrated our anniversary here and provided a surprise for us. Thank you so much.,"Dined here for a few times now, and the experience is great every single time!Wonderful place to host a dinner for friends/catch up/birthday celebrations!Loveeeeee the oven roasted iberico ribs and ma...","First time came here for my birthday and this time is my 4th visit. Waiters and waitresses are all friendly and the food is amazing. I highly recommend Schnitzel, and beef Bourguignon. Thanks for the ...","Celebrated my husband's birthday here, had a fantastic time here, with really good food and fantastic service by the staffs here. we were served by Jacob,he was really attentive and helpful. Thanks fo...","Had a little birthday celebration with my hubby, and it was very warm greeting by the people here. The food was great, the wine taste real good... reasonable price for a good dining choice. thank you ...",Great ham and pork dishes and excellent service. Erica is a wine expert and gives you good recomandations for wines to go with the food. I can highly recommend this place.Show less
El Iberico,3.0,3.0,4.4644094,3.0,4.850718,4.1630783,3.0,4.103448275862069,87,No specific mentions.,"We were pleasantly surprised that El Iberico hosted private functions ! We had our small wedding dinner here, and it was a wonderful experience …MoreWe were pleasantly surprised that El Iberico hosted...",Love the food...the ribs are as excellent as the first time and the many times we come....include the crispy pork belly.....would come again whenever we want to have pork belly and ribs,"Food is ok but terribly understaffed. Missed out one of our order, when we hurried them, we were told it is coming but later found out the waiter did not place the order, that guy did not even bother ...",Had an awesome time here. Food was good and the service was excellent. Love the tapas selection and Paella (pork). Great place to go if you're looking for a quiet night with loved one. Highly recommen...,"El Iberico Pavilion has been improved so much since last year. Great menu selection, beautiful ambience for the big crowd, couples, singles or business meetings. I loved their pork ribs and Spanish Gi...",No specific mentions.
El Mesón,3.0,3.0,4.6754255,2.190663,4.972454,4.5200343,3.0,4.094117647058823,85,No specific mentions.,No specific mentions.,The food is really delicious and tasty it’s full of flavour on every bite this place is a must try. The dessert is all home made and the chocolate lava cake really is a lava with warm chocolate pourin...,Went to the restaurant one morning for breakfast. Service was quick. Breakfast was good. Left for an appointment in a rush. Forgot about my change. Came back 4-5 hours later and asked about my change....,my friend invited me here for having a dinner.. and I really enjoy the dinner since there food was fantastic then a bottle of champagne that so great. with a attentive staff. keep it up!,"Had a great evening at el meson. There was a good ambience, some nice Christmas decoration and the food, chosen from this special Christmas menu, was delicious!",No specific mentions.
El Sid's Bar,3.0,3.0,3.0,3.0,3.0,4.3009176,3.0,4.2,15,No specific mentions.,No specific mentions.,"The Best thing about this bar is The staff, super friendly feels like family. This is our regular pub, almost here every single weekend and sometimes weekdays.We met our closest friends (closest than ...",No specific mentions.,"We literally love to come to El Sid's, great environment, friendly staff, respectful customers. They greet you with smile all the time. Even better they got the margarita machine back now.","There’s something different about Sid’s in that it is a fun place. The welcome is always warm and sincerely friendly and the staff are cheerful. Plus the setting is bright, colourful and calming - bei...",No specific mentions.
El Toro Loco @ Cormar Suites,3.0,3.0,4.838154,3.0,4.958805,4.2336555,3.0,4.34453781512605,119,No specific mentions.,No specific mentions.,"Brought my partner here for his birthday lunch, and we loved everything! Had the beef cheek, crab salad, ham croquetas, duck breast and paella, they were all really flavourful. The staff also gave us ...",We had a feeling that waiters were unfriendly.Probably the fact that the tip is included in the bill (around 15%) makes them indifferent towards the guest. Why on earth they would try to be nice if th...,"I visited El Toro Loco with a friend - and it did not disappoint! The service was excellent, everyone was so attentive! Drinks were great and the tapas was so tasty. We ordered the pork cheeks and a c...",The most exciting Tapas Restaurant I have been in KL. The food is excellent. The choice of beverages extraordinary. The chef gives personal extension to Hot food requirements. Guarantee I will come ba...,No specific mentions.
El Toro Loco KL,3.0,3.0,3.0,3.0,4.9747415,4.761637,3.0,4.795454545454546,88,No specific mentions.,No specific mentions.,"Paella here is authentic, and even has the crunchy base in the pan. My cousin had the prawns in olive oil which was also perfection! Highly recommendedShow less","My spouse and I had tapas lunch at El Toro Loco. Upon arrival, friendly wait staffs ushered us to our table and provided suggestions of tapas to order as we were first timers at the restaurant. We ord...","Incredible place. The atmosphere is fun and welcoming and the food, music and drinks are incredible! The staff are so lovely and the service was sensational! Will definitely be returning next time I’m...","Love the seating at the patio. Very attentive and friendly staff. Ordered pinchos, tapas and all the desserts on the menu -All were very good! Also had a very nice surprise birthday celebration from t...",No specific mentions.
Elegant Inn Hong Kong Cuisine,3.0,3.0,4.871305,2.8417935,3.0,4.4767766,3.0,4.042553191489362,47,No specific mentions.,"arranged the family anniversary luncheon as i have visited few times for dim sum and had good experience. this time i have arranged the course menu, it was very delicious. thank for the restaurant to ...",Dim Sum here are tasty and highly recommended. Service was brisk and attentive. Tea service and plate changes were frequent. Order the restaurant's recommended items and you won't go wrong. Dishes lik...,My husband and I dined here in April. Unfortunately we were not very hungry and we ordered only 2 dishes. Fried rice and a pork dish. Both were so wonderful we decided to have a dessert. They were als...,"Elegant Inn definitely lives up to it's name. Very flavourful, tasty chinese fine dining restaurant. Their Ma Lai Kou is very tasty and not to be missed. Great service and tasty food.",We had a wonderful dinner here. The chef is very focused on quality and flavour. Some of the best Chinese/Cantonese food we’ve ever had. The ingredients are very pure and of the highest quality. James...,No specific mentions.
Emily's Steakhouse Kuala Lumpur,3.0,3.0,4.377285,2.0935016,4.9117064,4.5249195,3.0,4.41970802919708,274,No specific mentions.,Wonderful! We had a great experience with the them. They took best care of our table and made the experience memorable. Overall fantastic evening! Thanks and appreciate!,"Had their Sirloin steak, fish and chips, Portobello mushroom, mushrooms soup and onion rings today. It was amazing, love all of it. Will definitely be back next weekend. Keep it up!","Yes it's yummy, but they took forever to serve the food. Even the soups as well...","The best steak I ever had in Kuala Lumpur! 👍We really had a great time spending our boss birthday at Emily's Steakhouse. Nice wine selection 😊 friendly staff, everything was just perfect!","Awesome! Food was great, nice ambience and floating coffee was a nice touch at the end of desserts! We were lucky to be served by the owner - Emily, such a nice lady who have great passion for food !",No specific mentions.
